County,TotalCrime,DrugArrests
Alameda County,83751,411
Alpine County,33,0
Amador County,457,47
Butte County,5164,118
Calaveras County,765,14
Colusa County,271,2
Contra Costa County,29541,546
Del Norte County,626,19
El Dorado County,1909,78
Fresno County,31848,241
Glenn County,499,7
Humboldt County,2808,89
Imperial County,1845,74
Inyo County,277,3
Kern County,26326,640
Kings County,2370,38
Lake County,1427,62
Lassen County,388,9
Los Angeles County,303361,3717
Madera County,2896,114
Marin County,4344,79
Mariposa County,284,7
Mendocino County,916,79
Merced County,7801,82
Modoc County,103,16
Mono County,163,4
Monterey County,7353,108
Napa County,2074,36
Nevada County,1186,33
Orange County,62765,1760
Placer County,5317,204
Plumas County,31,1
Riverside County,52108,1188
Sacramento County,40979,677
San Benito County,727,20
San Bernardino County,50538,2209
San Diego County,56438,1459
San Francisco County,37849,915
San Joaquin County,20806,252
San Luis Obispo County,4706,122
San Mateo County,14131,146
Santa Barbara County,8478,285
Santa Clara County,52816,544
Santa Cruz County,4966,185
Shasta County,3330,165
Sierra County,33,1
Siskiyou County,528,43
Solano County,12252,129
Sonoma County,6620,208
Stanislaus County,12447,350
Sutter County,2102,151
Tehama County,1561,44
Trinity County,255,12
Tulare County,11031,292
Tuolumne County,742,27
Ventura County,13697,893
Yolo County,4738,90
Yuba County,1223,75
